,absmeansecder,amp,autocorrcoef,coeffvar,diff_asymm,flatmean,flatrat,g_asymm,kurt,len_nmax,len_nmin,longtermtrend,mad,magratio,mautocorrcoef,maxslope,maxvars,maxvarsr,mbp,meanabsslope,meanmedrat,meannslope,meanpslope,mid20,mid35,mid50,mid65,mid80,minslope,naiveperiod,normamp,num_nsdspikes,num_nspikes,num_pm,num_psdspikes,num_pspikes,num_zcross,numnegoutliers,numout1s,numoutliers,numposoutliers,oeratio,percentamp,periodicity,periodicityr,pstrend,ptpslopes,rough_g_asymm,roundmean,roundrat,sautocorrcoef,skews,skewslope,stdratio,stds,tflatmean,troundmean,varabsslope,varslope,varss
kplr001026032-2011271113734_llc.fits,-6.41519323053e-07,0.998781204224,-7.10952854156,6.70170775265e-05,0.00819638557732,0.00818639621139,56.0,56.0,0.0,163.0,55.9658837828,0.000791192054749,0.445607202314,-0.41315172281,0.0511241077533,-0.0518423269844,-0.986146084235,1.0,-0.000718219231105,0.0642450174883,0.0167014355492,0.0193516341217,0.0514801439082,2.9277437983,48.0,52.0,25.0,33.0,1.00344234285,0.0,520.0,1411.0,212.0,218.0,0.81125239181,0.00114768794576,0.4428933158,72.6328740479,0.439854471518,0.00108520768117,0.181713685393,0.998733341694,0.0564689040184,0.056537812065,0.0,0.127977956202,0.231420321955,0.349338817915,0.496093554299,0.720932378805,0.00434374809265,0.0769228333391,0.742404375039,0.937333344318,0.033256551255,0.0994377415069,-0.38241649922,0.00763019490397,-50.1188375963,0.334445963384
kplr001026957-2011271113734_llc.fits,8.0024839271e-07,1.00091540813,0.39655020833,3.24160864693e-05,0.00568830547854,0.00569351250306,0.0,0.0,0.0,1474.0,-0.648163935997,0.00340950489044,0.0205204023413,-0.0194541909264,0.00671333066656,-0.0065592176028,-1.02349564736,1.0,0.000154113063764,0.129602741835,2.96897325119e-05,7.373490111e-05,0.00663886216073,0.524062364498,21.0,142.0,2.0,3.0,1.05030655529,0.0,57.0,1341.0,76.0,55.0,0.588347969985,0.00106556278485,1.15285190333,65.8927013667,1.24508587637,0.00562175968662,0.32361343503,0.999815940857,0.0215382218361,0.0215185236045,0.0,0.123026197943,0.242991465706,0.398397580888,0.559727606967,0.846136797651,0.013276219368,0.616402759198,-0.294358954261,0.99947929971,0.00375539856844,0.00405342596917,0.0260173636861,0.00299177742408,8.69628986322,0.926475183462
kplr001433962-2011271113734_llc.fits,2.90145502748e-07,0.998546898365,-0.267555087805,3.00262054225e-05,0.00548759102821,0.00547961704433,0.0,0.0,0.0,1789.0,-1.2012530986,0.00422501564026,0.131037495939,-0.133449634848,0.044067025531,-0.0434346974555,-1.01455813238,0.0,0.000632328075526,-0.00422222285044,0.00117052298031,0.00308443507045,0.043748298001,3.67141309426,25.0,138.0,1.0,3.0,1.0087243579,0.0,150.0,1459.0,190.0,185.0,0.95724551209,0.00236308427708,0.507934303589,73.0772277954,0.493649622399,0.0054117324762,0.900654554367,1.00015938282,0.0189359426498,0.0189634985406,0.0,0.248578783653,0.425379527334,0.567803639744,0.723631163073,0.879366441417,0.00950682163239,0.502051670106,-0.486632848264,0.978181621802,0.0240256862676,0.0209383261336,-0.0152700089761,0.0937566398922,-0.162868560496,1.14745018844
kplr001571511-2011271113734_llc.fits,-3.23196561808e-08,0.999617516994,-6.93915939331,6.61058493279e-06,0.00257208943367,0.0025711057242,81.0,81.0,0.0,94.0,48.0257452422,0.000221610069275,0.0374405014026,-0.0360640928217,0.0126888442931,-0.0125440673679,-1.01154146585,1.0,0.000144776925206,1.04302952611,0.000814251446412,0.000973477941167,0.0126199984341,0.92578336452,18.0,18.0,17.0,19.0,1.07918376674,0.0,415.0,1422.0,207.0,196.0,0.717018387112,0.000396511339799,0.450214625024,68.018934451,0.451324005864,0.000338764162734,0.0529090054333,0.999753534794,0.019961130619,0.0199687683336,0.0,0.137414965986,0.242824302135,0.352334037063,0.498156228008,0.717757447807,0.00138080120087,0.0691744985401,0.510130284679,0.968877668178,0.00714605907381,0.00506846997997,-0.0413197818636,0.0794735559996,-0.519918623798,1.409904587
kplr001725193-2011271113734_llc.fits,-1.7939192331e-06,0.998417615891,-3.71161651611,5.18689812452e-05,0.00721342675388,0.0072020124644,117.0,117.0,0.0,259.0,14.6158866894,0.00158703327179,0.445417092588,-0.452883619473,0.0428572133862,-0.0431886205582,-0.99232651639,1.0,-0.000331407171974,0.0482341267531,0.00873182018589,0.0105843583945,0.043041251687,2.1360659485,100.0,113.0,14.0,40.0,1.0026879503,0.0,223.0,1364.0,112.0,104.0,-0.0628845590633,0.0027902372215,0.683243144513,62.097057995,0.83777778,0.00230406969786,0.203764796257,0.995336055756,0.0426834225655,0.0427510711812,0.0,0.064467141926,0.119916186914,0.186255472933,0.283861544604,0.437909723478,0.00581181049347,0.13616083585,0.789440378826,0.957195939211,0.0514379575733,0.201223048596,-0.484302015824,0.268252452264,-1.80539641571,0.255626569283
kplr001996679-2011271113734_llc.fits,2.96345728585e-07,1.00000679493,0.348165005445,7.67587451378e-08,0.000277051789453,0.000277053681202,8.0,0.0,8.0,1339.0,0.994133284965,0.000182390213013,0.0416936107951,-0.0409545008577,0.0138860726604,-0.0136671589487,-1.01601749951,0.0,0.000218913711758,0.0193430464897,0.000120211285555,0.000310065302624,0.0137787572006,1.16089596823,22.0,138.0,0.0,5.0,1.00559519558,0.0,1984.0,1492.0,222.0,221.0,0.184434308649,0.000651936281803,0.424347099141,71.8968442159,0.420874007697,0.000265116395894,0.0441099181771,0.999988436699,0.00131776332855,0.0013177543745,0.0,0.15915936015,0.274078040292,0.408941837896,0.559868817348,0.770698079111,0.00165712833405,1.25753107416,-0.48758445865,0.145632535577,0.00621098723614,0.00497223336851,-0.00252436571115,-0.0216980257644,0.116340801627,1.24913429757
kplr002010607-2011271113734_llc.fits,5.82185081055e-07,0.999997377396,-1.09586083889,4.75269246181e-08,0.000218007276999,0.000218006709474,43.0,43.0,0.0,871.0,5.01214232036,0.000103235244751,0.0119179757817,-0.0113963083533,0.00404183218445,-0.00393396197722,-1.02742024652,0.0,0.000107870207226,0.117708987926,9.66475975267e-06,2.55767885042e-05,0.00398898887321,0.325406250103,19.0,149.0,0.0,1.0,1.0619216403,0.0,1030.0,1404.0,199.0,189.0,0.663536994752,0.000175752126375,0.582365370089,77.1618258078,0.471003983158,0.000148206803715,0.0220504701138,0.999991118908,0.00135040283203,0.00135040637361,0.0,0.120155406046,0.216734577845,0.327963612243,0.46534634701,0.685018478158,0.000676274299622,0.500794491525,-0.405237717194,0.885878552994,0.00150794252013,0.00156699908209,-1.8846173476e-05,0.00386047517769,-0.00488182739391,0.962312318722
kplr002162635-2011271113734_llc.fits,-1.13507061268e-06,0.999997675419,-0.664575517178,8.85334046075e-08,0.000297546328511,0.000297545630019,15.0,15.0,0.0,1218.0,3.98438317392,0.000184416770935,0.0415486630334,-0.0398564260859,0.0137903023589,-0.0135727020681,-1.01603220123,0.0,0.000217600290813,0.102214486848,0.000114593204117,0.00030175742574,0.0136808160864,1.14184726697,22.0,148.0,1.0,4.0,1.05797856996,0.0,1955.0,1449.0,240.0,218.0,0.129423229242,0.000551836025986,0.468489086367,75.889110762,0.390290294051,0.000190851147636,0.0354696549475,1.00001561642,0.00139487981796,0.00139488306048,0.0,0.147264713508,0.267098781436,0.400764843142,0.54945553539,0.76795436868,0.00112116336823,0.803770585671,-0.453872024009,0.277518782142,0.00638168312021,0.00591993644536,-0.00197575971446,-0.00487078546064,0.405634723686,1.07799858649
kplr002162994-2011271113734_llc.fits,1.21160276542e-05,0.976319491863,-3.37711286545,0.00602109450847,0.0794777870178,0.0775957107544,97.0,97.0,0.0,374.0,10.4098182263,0.00370502471924,4.16432735834,-4.19819629909,0.360477617288,-0.369580442866,-0.975369839628,1.0,-0.00910282557823,-0.0115456680723,1.07242187848,1.20563178537,0.364979825614,9.57420076214,117.0,137.0,78.0,0.0,0.987400134431,0.0,92.0,1169.0,95.0,90.0,0.500446185423,0.00332667383466,0.809263858789,57.4162310868,0.987768822021,0.00457827746868,0.355047613382,0.901872098446,0.36797260046,0.376897730227,0.0,0.0113524151926,0.0208493216982,0.0307282322483,0.0429026475251,0.215151008475,0.00986993312836,0.0268224675316,0.879296801366,0.957005237123,0.764336338012,3.01686849297,-10.0549172046,8.9568194045,-1.12259907792,0.253354211426
kplr002305372-2011271113734_llc.fits,5.01905507441e-05,0.93092417717,-2.52029871941,0.0327019393444,0.194255113602,0.180836781859,0.0,0.0,0.0,505.0,5.27509752318,0.0235915184021,8.18612082563,-8.16361978896,1.25316267531,-1.28962135803,-0.971729157173,1.0,-0.0364586827193,0.0215563626243,5.19901947496,6.81423813898,1.27096502308,27.4881798766,64.0,166.0,29.0,0.0,0.99304039255,0.0,261.0,135.0,131.0,132.0,-0.8972986364,0.0185892748444,0.173012628832,17.570169641,0.713132599089,0.0066716466099,0.831923723221,1.41352593899,0.761529475451,0.818035984161,0.0,0.0354508306573,0.0611238545098,0.109646543087,0.183277523287,0.557844092529,0.0436807870865,0.0573592861401,0.882271370474,0.953882632386,0.261949085342,7.12948169644,-3.64994841645,17.7971402691,-0.20508623078,0.0367416730269
kplr002305543-2011271113734_llc.fits,4.09688682638e-05,0.991889119148,-2.27088141441,0.000832543941215,0.0290897805244,0.0288538374007,8.0,8.0,0.0,541.0,4.75167452262,0.00843292474747,2.59132097734,-2.59202498387,0.336807288402,-0.343830159076,-0.979574593768,1.0,-0.0070228706741,-0.00527113772235,0.499353381775,0.615130722349,0.340264945,15.1112074823,80.0,157.0,1.0,0.0,0.98685360521,0.0,270.0,302.0,89.0,137.0,0.460452756534,0.0057726918536,0.335890428261,27.8111560407,1.05836757558,0.00637467484921,0.466103136539,0.993335902691,0.136012041569,0.137124239941,0.0,0.0538896889953,0.105286743321,0.169671591752,0.253587243071,0.572755396716,0.0235861539841,0.173412248739,0.573375300257,0.840456681067,0.111263368044,1.99319239539,-1.53478937793,0.336088373234,-4.5666244362,0.0558216900192
kplr002306740-2011271113734_llc.fits,-7.62241217478e-06,0.988419771194,-4.87161064148,0.00287624262273,0.0542589426041,0.0536306127906,118.0,118.0,0.0,223.0,23.3703902083,0.00147789716721,2.09260753495,-2.08693238766,0.134419120452,-0.136855454478,-0.98219775722,1.0,-0.00243633402635,0.0493827780586,0.264124630724,0.282514943184,0.135615887234,3.01251558417,87.0,92.0,42.0,37.0,0.994024489123,0.0,34.0,930.0,146.0,132.0,0.899387789887,0.000961877808087,0.328497943865,35.1966136378,0.642460764268,0.00143886357546,0.182719826698,0.995475411415,0.317208850384,0.32092523807,0.0,0.0161704177887,0.0288504189203,0.0428702105789,0.0593986374053,0.0783033320731,0.00540685653687,0.0170450998776,0.913636074745,0.979019015976,0.147934908101,0.539197309139,-1.54617475151,3.47267078021,-0.445240810133,0.27436136196
kplr002308957-2011271113734_llc.fits,-3.25740000431e-05,0.954198539257,-1.72646486759,0.0103690568358,0.10671633482,0.101828567684,0.0,0.0,0.0,726.0,1.47432766584,0.0123219490051,3.37527419122,-3.32516349917,0.606761992185,-0.576094426296,-1.05323357507,0.0,0.0306675658888,0.0411445285423,1.07134386566,1.42086769701,0.591290067052,13.1940200368,0.0,119.0,23.0,0.0,1.02706377781,0.0,169.0,260.0,84.0,85.0,0.57618959429,0.00442737917753,0.129861350976,5.24621287333,1.11892504251,0.0100603578612,0.589989185333,1.03452146053,0.362817513943,0.380232728322,0.0,0.0317638615297,0.0554427403537,0.119168459692,0.457667334304,0.84758803114,0.0431863069534,0.119030381097,0.900545006262,0.969247695552,0.118919972277,3.94503853618,-0.541537729518,33.4799303188,-0.0161749957172,0.0301441852054
kplr002309587-2011271113734_llc.fits,-6.02880749223e-06,0.995103776455,-3.54277205467,0.000512255181093,0.0227444171906,0.022633055225,119.0,119.0,0.0,292.0,13.6255660121,0.00603455305099,2.25689817865,-2.26233408789,0.183250051508,-0.192096537367,-0.953947707856,1.0,-0.00884648585876,0.0365730235175,0.230920504687,0.266119119442,0.187612951931,7.8536117954,100.0,102.0,69.0,51.0,0.980496222362,0.0,255.0,574.0,100.0,122.0,-0.38892539228,0.00917371598937,0.402852870315,27.5300727262,0.937676039616,0.00571009935811,0.466588944197,0.968125164509,0.133433222771,0.134089756192,0.0,0.0787721590226,0.146791385882,0.227054648719,0.323297907355,0.49800778016,0.0213272571564,0.159834685197,0.669774916202,0.886965215262,0.103782380738,1.20605807132,-0.0312982543846,0.296874177885,-0.105425990929,0.0860508985482
kplr002309719-2011271113734_llc.fits,-2.9852879668e-07,0.999987661839,-10.1563854218,3.81145184747e-07,0.000617377168965,0.000617369543761,21.0,20.0,1.0,223.0,151.636414523,0.000219166278839,0.0256351540089,-0.0258976846117,0.00866412812331,-0.00875977119359,-0.989081556109,1.0,-9.56430702765e-05,-0.603615856171,0.000103921948223,0.000179849513113,0.00871364254387,0.710996892152,16.0,20.0,2.0,5.0,0.954527362781,0.0,924.0,1497.0,210.0,196.0,0.259409378616,0.000548981743497,0.490218682856,72.6942774318,0.442695984202,0.00043016843847,0.0536465421319,0.999997496605,0.00147440433502,0.00147442252669,0.0,0.162279449552,0.288391480614,0.419802432479,0.57682864158,0.784388739793,0.00493228435516,3.34527255381,-0.157839573342,0.90082565085,0.00357934905758,0.00386463876785,-0.0121684137922,0.00390812573289,-3.11361880961,0.926179462711
kplr002437452-2011271113734_llc.fits,1.39703907302e-06,0.997042357922,-7.20178699493,0.000386219850043,0.0197107736021,0.0196524765342,66.0,66.0,0.0,143.0,57.3144324892,0.00181597471237,0.719812518011,-0.661519731197,0.131338818408,-0.13364192115,-0.982766614534,1.0,-0.0023031027416,-0.0574266400762,0.0415929509291,0.0591447210535,0.13248362646,9.10011944028,43.0,47.0,7.0,2.0,0.984283845082,0.0,670.0,1417.0,208.0,206.0,0.496523409435,0.00406444528986,0.416218303139,66.7675032322,0.450624187369,0.00213225837797,0.353421747684,1.00008797646,0.124798834324,0.125169039542,0.0,0.138286906369,0.254177199656,0.373444594429,0.520989078415,0.730193888821,0.0111720561981,0.089520517228,0.499887254273,0.964199877702,0.0603184657161,0.136682019952,-0.478326052227,0.853445127284,-0.560464916766,0.44130505049
kplr002438070-2011271113734_llc.fits,-7.1450857996e-08,0.999983727932,-0.573698699474,1.33183505113e-07,0.000364949082723,0.000364943145541,12.0,11.0,1.0,1237.0,1.80150194654,0.000228881835938,0.0342051919902,-0.0369812279315,0.0117257504333,-0.0119192654602,-0.983764517408,1.0,-0.000193515026891,-0.0252722233621,8.94699403418e-05,0.000229350953054,0.0118271360493,0.974406360285,25.0,127.0,1.0,4.0,0.997367253719,0.0,1286.0,1434.0,223.0,213.0,0.532602179747,0.000527208948459,0.439967347784,74.3098823896,0.419992539106,0.000296376325423,0.0508973449469,0.999971091747,0.00190601348877,0.00190604450406,0.0,0.150213031279,0.271142055492,0.399043957186,0.553600748207,0.753559181129,0.002157330513,1.13185479836,-0.41893269988,0.634453294517,0.00494486450377,0.00616243582316,0.00355088509437,0.0145203877772,0.244544784124,0.802420446342
kplr002440757-2011271113734_llc.fits,2.91642785414e-07,0.999977350235,-0.525390267372,4.28109871109e-07,0.000654315925203,0.00065430108225,7.0,6.0,1.0,1179.0,1.80194836751,0.000385046005249,0.0928196792482,-0.0953622686848,0.0305087993677,-0.0306048824666,-0.996860530376,1.0,-9.60830988537e-05,0.012875618624,0.000576272850841,0.00150998633327,0.0305567327154,2.48771120397,26.0,149.0,0.0,2.0,1.00101610254,0.0,2012.0,1433.0,217.0,215.0,0.106261424703,0.00107494480934,0.411877592683,64.5172613241,0.43147004102,0.00040463465848,0.0671986415982,1.00004768372,0.00348930358887,0.00348938262256,0.0,0.141155968632,0.253970374673,0.374295672379,0.524635492303,0.737118791751,0.00320672988892,0.919017164098,-0.398886757831,0.254176279197,0.0143533126744,0.0186712345275,0.0610432226365,0.0396673333545,1.53887890802,0.768739348932
kplr002442084-2011271113734_llc.fits,-7.13951658583e-07,0.999010920525,-12.4260883331,0.000219588589971,0.0148331932724,0.0148185221478,32.0,32.0,0.0,41.0,171.504463826,0.00241506099701,0.158794573831,-0.152014820505,0.0662089677603,-0.0640809117351,-1.03320889119,0.0,0.00212805602519,0.272277937428,0.0396381969246,0.043879990452,0.0651291231151,4.28219426005,20.0,21.0,16.0,16.0,1.03216616591,0.0,513.0,1386.0,210.0,199.0,0.905988336917,0.00244942669582,0.44500176446,69.7431887217,0.446214694967,0.00313590350561,0.553417026997,0.999738037586,0.0143881201744,0.0144023652583,0.0,0.178068786559,0.307207415226,0.44735453226,0.602564102564,0.805300831244,0.00933659076691,0.648909701457,0.7377413144,0.958241235337,0.0370850610724,0.1036542547,0.0372324231352,0.264500062253,0.140765271728,0.35777654453
kplr002445134-2011271113734_llc.fits,-2.53185318218e-06,0.997681975365,-7.40746450424,0.000252634083154,0.0159313958138,0.0158944670111,75.0,75.0,0.0,100.0,55.4480810322,0.000476956367493,0.535161133218,-0.576498508465,0.045498815179,-0.0452900436134,-1.00460965698,0.0,0.000208771565548,-0.0833632351527,0.0526232316367,0.0546846752347,0.0454038305059,1.90373229278,41.0,41.0,40.0,40.0,0.997331904064,0.0,49.0,1415.0,205.0,184.0,0.720129756609,0.000661064462993,0.546757034678,76.3185799343,0.452744269273,0.00070941390004,0.112094961107,0.998656868935,0.121770071983,0.12205299383,0.0,0.0931542461005,0.163913922588,0.231441363374,0.312954939341,0.44351530907,0.00465905666351,0.0382610980484,0.835663721142,0.953362658787,0.0476559094688,0.141450926657,-0.351228086381,0.215634726384,-1.6288104067,0.336907721957
kplr002445975-2011271113734_llc.fits,5.43333490032e-07,1.00051915646,0.246861174703,2.0901525204e-05,0.00456944666803,0.00457181874663,0.0,0.0,0.0,1854.0,-1.06803782111,0.003821849823,0.170578484228,-0.174792851659,0.0411266161408,-0.0410716346953,-1.00133867195,1.0,5.49814455e-05,-0.384371412137,0.00242398548581,0.00411308856666,0.0410992492502,2.67598010662,42.0,54.0,9.0,26.0,0.941523925159,0.0,289.0,954.0,88.0,112.0,0.307273695074,0.00145516839442,0.188682414734,9.71824498903,1.07100268685,0.00202380982228,0.1239130795,1.0003579855,0.0165167808533,0.0165082105092,0.0,0.220535136027,0.383678393491,0.56345057336,0.718200635797,0.867354670482,0.0156775712967,0.949190489113,0.15247809002,0.956846308353,0.063641144778,0.0792171807694,-0.211721450493,0.227202008748,-0.931864342484,0.803375532427
kplr002447893-2011271113734_llc.fits,-4.3829210972e-05,0.986600577831,-1.50364458561,0.00268420763314,0.0525129847229,0.0518093407154,0.0,0.0,0.0,955.0,1.67493998392,0.0217447280884,4.62103130016,-4.99310803881,0.946539114767,-1.02139316925,-0.92671377023,1.0,-0.0748540544876,-0.106430337329,1.79948591759,2.764823654,0.982516266181,47.3250794656,19.0,126.0,0.0,0.0,0.949412005834,0.0,556.0,313.0,221.0,277.0,0.27242071963,0.0363015526412,0.39562805509,70.4346077056,0.422325634031,0.0144089292735,2.38447642326,1.02726769447,0.226162993908,0.229234605158,0.0,0.0865379689292,0.151215925167,0.253923126998,0.461684951709,0.75904387249,0.0565433502197,0.250011503839,0.43369393687,0.777991742623,0.783289929793,2.77962865676,-33.7662764968,3.54835355002,-9.51604061455,0.281796609014
kplr002556127-2011271113734_llc.fits,-8.00036878041e-07,0.999163091183,-1.48803758621,6.29087935522e-06,0.00251026335172,0.00250816252083,1.0,0.0,1.0,885.0,2.2742743941,0.000946402549744,0.323428353842,-0.296254579736,0.0731681672551,-0.0646747350702,-1.13132534947,0.0,0.00849343218485,0.206916727869,0.00841458521208,0.0131286954999,0.0686593790435,4.54335990291,2.0,139.0,2.0,1.0,1.09291803858,0.0,852.0,803.0,217.0,218.0,0.359426289547,0.00107317957085,0.324177386049,31.3490035162,0.429859687337,0.00126143335365,0.147785052657,0.999444901943,0.0109267950058,0.0109359473966,0.0,0.0886288589927,0.169678879901,0.264617669536,0.489081628239,0.735403959568,0.0158851146698,1.45377621355,0.0956875489681,0.554951846609,0.0711563990165,0.151310600422,0.546414811017,-0.0056770938106,-96.2490367866,0.47026711161
kplr002557430-2011271113734_llc.fits,2.45012628984e-06,0.997410476208,-2.15667724609,9.95341761154e-05,0.0100025832653,0.00997668132186,18.0,18.0,0.0,611.0,4.52170680261,0.00346672534943,0.942387271863,-0.931849177407,0.110478530185,-0.130499610322,-0.846581303283,1.0,-0.0200210801377,-0.0220669475276,0.0588734163641,0.0731991725115,0.119690932599,5.16239681584,89.0,103.0,43.0,0.0,0.925037085851,0.0,318.0,438.0,88.0,165.0,0.268740750366,0.00246126181287,0.332175678159,22.1167709575,1.07240548636,0.0025395678822,0.164100989699,1.0027037859,0.0482929825783,0.0484183630815,0.0,0.0828516207137,0.139970760958,0.206852059653,0.301192924577,0.64029961168,0.0096195936203,0.199192369299,0.612966860811,0.84266151253,0.0993278019333,0.597927112375,0.115145750621,-0.0393255202081,-2.92801595534,0.16612025091
kplr002571868-2011271113734_llc.fits,-4.14790908227e-07,1.0000180006,0.0659735575318,1.12604470814e-06,0.00106113345828,0.00106115255039,0.0,0.0,0.0,1440.0,-0.248302774946,0.000742435455322,0.20032003267,-0.195143167319,0.072086847262,-0.0728429362489,-0.989620284055,1.0,-0.00075608898687,0.0091899045513,0.00262424670096,0.00787513539969,0.072463018562,6.64959659581,11.0,178.0,0.0,0.0,1.01273187273,0.0,3038.0,1747.0,214.0,215.0,-0.0332186892555,0.00160819593083,0.435973742092,71.1251554423,0.435916113011,0.000547251140233,0.0939491018653,1.00008404255,0.00484319925308,0.00484311207415,0.0,0.163203183457,0.283052173322,0.424120808108,0.581582885518,0.782701857017,0.00354027748108,0.730979110311,-0.761902919583,-0.467319391091,0.028783568375,0.025369617104,-0.0120750912018,0.00387035245256,-3.11989446693,1.1345684981
kplr002576692-2011271113734_llc.fits,3.34653955195e-05,0.998259425163,-11.3530712128,0.000508859113324,0.0225972365588,0.0225579049438,41.0,41.0,0.0,52.0,135.700022859,0.00100934505463,0.0221830127786,-0.022051891236,0.0199036661653,-0.0197399330582,-1.00829451177,1.0,0.000163733107164,0.0997269638583,0.0163947250532,0.0167875933117,0.0198225002715,0.648716196536,27.0,26.0,17.0,21.0,1.00476701675,0.0,4.0,1446.0,205.0,194.0,0.966554075866,0.000336128861992,0.563579890263,79.0012490957,0.454447034139,0.00143093278166,0.244944781065,0.999425947666,0.0623538613319,0.0624625821306,0.0,0.186435489598,0.316213006159,0.445370948585,0.573657079185,0.814923655243,0.00433444976807,0.0695137346024,0.969993027571,0.992832705207,0.00391256239202,0.0184913766155,-0.0598989179059,0.217029487866,-0.275994375211,0.211588486535
